profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170121
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170204
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170211
,,,20170213
-500.0,0.0,-500.0,20170214
-27650.0,250.0,-27900.0,20170215
0.0,0.0,0.0,20170216
0.0,0.0,0.0,20170218
-150.0,100.0,-250.0,20170220
50.0,50.0,0.0,20170221
4150.0,850.0,3300.0,20170222
10800.0,0.0,10800.0,20170223
