profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170213
,,,20170214
-360.0,0.0,-360.0,20170215
-38340.0,1540.0,-39880.0,20170216
-8220.0,520.0,-8740.0,20170217
9030.0,0.0,9030.0,20170220
3700.0,270.0,3430.0,20170221
-24120.0,600.0,-24720.0,20170222
18460.0,0.0,18460.0,20170223
