stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-06 14:49:00,268.9,268.85,0.0,,,,,
2017-01-06 14:49:00,268.9,268.85,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 14:59:00,268.9,268.85,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 14:59:00,268.9,268.85,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09 09:49:00,269.85,269.8,1.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-09 10:06:00,269.75,269.7,1.0,-100.0,-100.0,0.0,-100.0,-100.0
2017-01-09 10:10:00,269.75,269.7,2.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-09 10:11:00,269.8,269.75,1.0,100.0,100.0,50.0,50.0,50.0
2017-01-09 10:31:00,269.85,269.8,2.0,50.0,50.0,50.0,1.13686837722e-11,1.13686837722e-11
2017-01-09 10:32:00,269.8,269.75,3.0,-100.0,-100.0,50.0,-150.0,-150.0
2017-01-09 14:59:00,269.8,269.75,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-09 14:59:00,269.8,269.75,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-10 09:25:00,271.15,271.1,3.0,4050.0,4050.0,0.0,4050.0,4050.0
2017-01-10 14:59:00,271.55,271.5,3.0,1200.0,1200.0,0.0,1200.0,1200.0
2017-01-10 14:59:00,271.55,271.5,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-11 14:59:00,271.9,271.85,3.0,1050.0,1050.0,0.0,1050.0,1050.0
2017-01-11 14:59:00,271.9,271.85,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 14:59:00,272.3,272.25,3.0,1200.0,1200.0,0.0,1200.0,1200.0
2017-01-12 14:59:00,272.3,272.25,3.0,0.0,0.0,0.0,0.0,0.0
2017-01-13 09:32:00,270.75,270.7,3.0,-4650.0,-4650.0,0.0,-4650.0,-4650.0
2017-01-13 09:38:00,270.75,270.7,2.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-13 10:54:00,270.75,270.7,1.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-13 10:55:00,270.7,270.65,2.0,-50.0,-50.0,50.0,-100.0,-100.0
2017-01-13 11:02:00,270.7,270.65,1.0,0.0,0.0,50.0,-50.0,-50.0
