stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-06 14:38:00,84700.0,84750.0,-2.0,,,,,
2017-01-06 14:38:00,84700.0,84750.0,-2.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 14:39:00,84760.0,84820.0,2.0,-120.0,-140.0,80.0,-200.0,-220.0
2017-01-06 14:51:00,84760.0,84810.0,-2.0,0.0,-20.0,80.0,-80.0,-100.0
2017-01-06 14:59:00,84760.0,84810.0,-2.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 14:59:00,84760.0,84810.0,-2.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 09:12:00,85840.0,85880.0,2.0,-2160.0,-2140.0,80.0,-2240.0,-2220.0
2017-01-09 09:21:00,85810.0,85850.0,5.0,-60.0,-60.0,60.0,-120.0,-120.0
2017-01-09 09:38:00,85770.0,85820.0,9.0,-200.0,-150.0,80.0,-280.0,-230.0
2017-01-09 09:45:00,85810.0,85860.0,12.0,360.0,360.0,60.0,300.0,300.0
2017-01-09 09:53:00,85730.0,85780.0,16.0,-960.0,-960.0,80.0,-1040.0,-1040.0
2017-01-09 09:57:00,85800.0,85850.0,19.0,1120.0,1120.0,60.0,1060.0,1060.0
2017-01-09 10:31:00,85940.0,85980.0,21.0,2660.0,2470.0,40.0,2620.0,2430.0
2017-01-09 10:34:00,85840.0,85890.0,23.0,-2100.0,-1890.0,40.0,-2140.0,-1930.0
2017-01-09 10:35:00,85830.0,85880.0,21.0,-230.0,-230.0,40.0,-270.0,-270.0
2017-01-09 10:45:00,85820.0,85860.0,23.0,-210.0,-420.0,40.0,-250.0,-460.0
2017-01-09 10:53:00,85880.0,85930.0,23.0,1380.0,1610.0,0.0,1380.0,1610.0
2017-01-09 10:54:00,85980.0,86040.0,26.0,2300.0,2530.0,60.0,2240.0,2470.0
2017-01-09 14:59:00,86320.0,86370.0,26.0,8840.0,8580.0,0.0,8840.0,8580.0
2017-01-09 14:59:00,86320.0,86370.0,26.0,0.0,0.0,0.0,0.0,0.0
2017-01-10 14:59:00,87090.0,87130.0,26.0,20020.0,19760.0,0.0,20020.0,19760.0
2017-01-10 14:59:00,87090.0,87130.0,26.0,0.0,0.0,0.0,0.0,0.0
