stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-12 09:21:00,1521.0,1512.0,0.0,,,,,
2017-01-12 09:21:00,1521.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 10:10:00,1515.0,1506.0,-13.0,-0.0,-0.0,130.0,-130.0,-130.0
2017-01-12 10:11:00,1516.0,1507.0,0.0,-130.0,-130.0,130.0,-260.0,-260.0
2017-01-12 10:31:00,1515.0,1506.0,-13.0,-0.0,-0.0,130.0,-130.0,-130.0
2017-01-12 10:38:00,1515.0,1505.0,-25.0,-0.0,130.0,120.0,-120.0,10.0
2017-01-12 10:39:00,1514.0,1505.0,-13.0,250.0,-0.0,120.0,130.0,-120.0
2017-01-12 10:45:00,1511.0,1502.0,-25.0,390.0,390.0,120.0,270.0,270.0
2017-01-12 10:49:00,1513.0,1504.0,-51.0,-500.0,-500.0,260.0,-760.0,-760.0
2017-01-12 14:59:00,1517.0,1508.0,-51.0,-2040.0,-2040.0,0.0,-2040.0,-2040.0
2017-01-12 14:59:00,1517.0,1508.0,-51.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-13 09:20:00,1527.0,1517.0,-38.0,-5100.0,-4590.0,130.0,-5230.0,-4720.0
2017-01-13 09:21:00,1526.0,1516.0,0.0,380.0,380.0,380.0,0.0,0.0
2017-01-13 09:23:00,1526.0,1516.0,-13.0,0.0,0.0,130.0,-130.0,-130.0
2017-01-13 09:24:00,1526.0,1516.0,0.0,-0.0,-0.0,130.0,-130.0,-130.0
2017-01-13 09:25:00,1525.0,1515.0,25.0,-0.0,-0.0,250.0,-250.0,-250.0
2017-01-13 09:26:00,1525.0,1515.0,76.0,0.0,0.0,510.0,-510.0,-510.0
2017-01-13 09:49:00,1527.0,1517.0,89.0,1520.0,1520.0,130.0,1390.0,1390.0
2017-01-13 09:51:00,1528.0,1518.0,102.0,890.0,890.0,130.0,760.0,760.0
2017-01-13 09:57:00,1527.0,1517.0,114.0,-1020.0,-1020.0,120.0,-1140.0,-1140.0
2017-01-13 10:11:00,1528.0,1519.0,127.0,1140.0,2280.0,130.0,1010.0,2150.0
2017-01-13 10:31:00,1535.0,1526.0,140.0,8890.0,8890.0,130.0,8760.0,8760.0
2017-01-13 10:32:00,1533.0,1524.0,165.0,-2800.0,-2800.0,250.0,-3050.0,-3050.0
2017-01-13 10:33:00,1534.0,1525.0,165.0,1650.0,1650.0,0.0,1650.0,1650.0
2017-01-13 10:40:00,1532.0,1524.0,178.0,-3300.0,-1650.0,130.0,-3430.0,-1780.0
2017-01-13 14:53:00,1524.0,1514.0,152.0,-14240.0,-17800.0,260.0,-14500.0,-18060.0
2017-01-13 14:54:00,1525.0,1515.0,178.0,1520.0,1520.0,260.0,1260.0,1260.0
2017-01-13 14:59:00,1523.0,1513.0,152.0,-3560.0,-3560.0,260.0,-3820.0,-3820.0
2017-01-13 14:59:00,1523.0,1513.0,152.0,0.0,0.0,0.0,0.0,0.0
2017-01-16 09:26:00,1537.0,1528.0,178.0,21280.0,22800.0,260.0,21020.0,22540.0
2017-01-16 14:59:00,1538.0,1529.0,178.0,1780.0,1780.0,0.0,1780.0,1780.0
2017-01-16 14:59:00,1538.0,1529.0,178.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 14:59:00,1534.0,1524.0,178.0,-7120.0,-8900.0,0.0,-7120.0,-8900.0
2017-01-17 14:59:00,1534.0,1524.0,178.0,0.0,0.0,0.0,0.0,0.0
2017-01-18 14:59:00,1574.0,1562.0,178.0,71200.0,67640.0,0.0,71200.0,67640.0
2017-01-18 14:59:00,1574.0,1562.0,178.0,0.0,0.0,0.0,0.0,0.0
