stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-06 14:31:00,3445.0,3358.0,-5.0,,,,,
2017-01-06 14:31:00,3445.0,3358.0,-5.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 14:59:00,3445.0,3355.0,-5.0,-0.0,75.0,0.0,-0.0,75.0
2017-01-06 14:59:00,3445.0,3355.0,-5.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 14:59:00,3458.0,3365.0,-5.0,-325.0,-250.0,0.0,-325.0,-250.0
2017-01-09 14:59:00,3458.0,3365.0,-5.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-10 10:31:00,3470.0,3378.0,5.0,-300.0,-325.0,100.0,-400.0,-425.0
2017-01-10 14:51:00,3465.0,3369.0,5.0,-125.0,-225.0,0.0,-125.0,-225.0
2017-01-10 14:59:00,3463.0,3366.0,5.0,-50.0,-75.0,0.0,-50.0,-75.0
2017-01-10 14:59:00,3463.0,3366.0,5.0,0.0,0.0,0.0,0.0,0.0
2017-01-11 09:10:00,3494.0,3400.0,11.0,775.0,850.0,60.0,715.0,790.0
2017-01-11 09:12:00,3493.0,3399.0,11.0,-55.0,-55.0,0.0,-55.0,-55.0
2017-01-11 09:20:00,3499.0,3407.0,16.0,330.0,440.0,50.0,280.0,390.0
2017-01-11 09:21:00,3502.0,3410.0,21.0,240.0,240.0,50.0,190.0,190.0
2017-01-11 09:22:00,3502.0,3410.0,27.0,0.0,0.0,60.0,-60.0,-60.0
2017-01-11 09:24:00,3502.0,3410.0,37.0,0.0,0.0,100.0,-100.0,-100.0
2017-01-11 09:25:00,3503.0,3412.0,43.0,185.0,370.0,60.0,125.0,310.0
2017-01-11 09:26:00,3505.0,3414.0,53.0,430.0,430.0,100.0,330.0,330.0
2017-01-11 09:28:00,3506.0,3415.0,59.0,265.0,265.0,60.0,205.0,205.0
2017-01-11 09:32:00,3528.0,3439.0,69.0,6490.0,7080.0,100.0,6390.0,6980.0
