stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-30 09:59:00,2312.0,2310.0,-11.0,,,,,
2016-12-30 14:59:00,2310.0,2309.0,-11.0,220.0,110.0,0.0,220.0,110.0
2016-12-30 14:59:00,2310.0,2309.0,-11.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-03 14:59:00,2278.0,2278.0,-11.0,3520.0,3410.0,0.0,3520.0,3410.0
2017-01-03 14:59:00,2278.0,2278.0,-11.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-04 14:59:00,2308.0,2310.0,-11.0,-3300.0,-3520.0,0.0,-3300.0,-3520.0
2017-01-04 14:59:00,2308.0,2310.0,-11.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-05 09:02:00,2324.0,2325.0,-0.0,-1760.0,-1650.0,110.0,-1870.0,-1760.0
2017-01-05 14:59:00,2301.0,2301.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 14:59:00,2301.0,2301.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 11:29:00,2290.0,2288.0,-11.0,0.0,0.0,110.0,-110.0,-110.0
2017-01-06 14:59:00,2296.0,2296.0,-11.0,-660.0,-880.0,0.0,-660.0,-880.0
2017-01-06 14:59:00,2296.0,2296.0,-11.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 14:59:00,2289.0,2290.0,-11.0,770.0,660.0,0.0,770.0,660.0
2017-01-09 14:59:00,2289.0,2290.0,-11.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-10 14:59:00,2289.0,2291.0,-11.0,-0.0,-110.0,0.0,-0.0,-110.0
2017-01-10 14:59:00,2289.0,2291.0,-11.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-11 09:59:00,2317.0,2319.0,21.0,-3080.0,-3080.0,320.0,-3400.0,-3400.0
2017-01-11 14:59:00,2327.0,2331.0,21.0,2100.0,2520.0,0.0,2100.0,2520.0
2017-01-11 14:59:00,2327.0,2331.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 14:59:00,2320.0,2324.0,21.0,-1470.0,-1470.0,0.0,-1470.0,-1470.0
2017-01-12 14:59:00,2320.0,2324.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-13 14:59:00,2380.0,2386.0,21.0,12600.0,13020.0,0.0,12600.0,13020.0
2017-01-13 14:59:00,2380.0,2386.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-16 14:59:00,2417.0,2426.0,21.0,7770.0,8400.0,0.0,7770.0,8400.0
2017-01-16 14:59:00,2417.0,2426.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 14:59:00,2424.0,2435.0,21.0,1470.0,1890.0,0.0,1470.0,1890.0
2017-01-17 14:59:00,2424.0,2435.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-18 14:59:00,2434.0,2446.0,21.0,2100.0,2310.0,0.0,2100.0,2310.0
2017-01-18 14:59:00,2434.0,2446.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-19 14:59:00,2452.0,2464.0,21.0,3780.0,3780.0,0.0,3780.0,3780.0
2017-01-19 14:59:00,2452.0,2464.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-20 11:29:00,2417.0,2429.0,11.0,-7350.0,-7350.0,100.0,-7450.0,-7450.0
2017-01-20 13:30:00,2417.0,2428.0,21.0,0.0,-110.0,100.0,-100.0,-210.0
2017-01-20 13:31:00,2414.0,2425.0,11.0,-630.0,-630.0,100.0,-730.0,-730.0
2017-01-20 14:29:00,2416.0,2428.0,-0.0,220.0,330.0,110.0,110.0,220.0
2017-01-20 14:31:00,2417.0,2429.0,11.0,-0.0,-0.0,110.0,-110.0,-110.0
2017-01-20 14:59:00,2419.0,2432.0,11.0,220.0,330.0,0.0,220.0,330.0
2017-01-20 14:59:00,2419.0,2432.0,11.0,0.0,0.0,0.0,0.0,0.0
2017-01-23 10:14:00,2412.0,2423.0,-0.0,-770.0,-990.0,110.0,-880.0,-1100.0
2017-01-23 14:59:00,2417.0,2432.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-23 14:59:00,2417.0,2432.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-24 09:59:00,2430.0,2446.0,21.0,-0.0,-0.0,210.0,-210.0,-210.0
2017-01-24 10:59:00,2431.0,2448.0,32.0,210.0,420.0,110.0,100.0,310.0
2017-01-24 14:59:00,2428.0,2443.0,32.0,-960.0,-1600.0,0.0,-960.0,-1600.0
2017-01-24 14:59:00,2428.0,2443.0,32.0,0.0,0.0,0.0,0.0,0.0
2017-01-25 09:29:00,2389.0,2403.0,-21.0,-12480.0,-12800.0,530.0,-13010.0,-13330.0
2017-01-25 09:59:00,2393.0,2409.0,-32.0,-840.0,-1260.0,110.0,-950.0,-1370.0
2017-01-25 14:59:00,2375.0,2391.0,-32.0,5760.0,5760.0,0.0,5760.0,5760.0
2017-01-25 14:59:00,2375.0,2391.0,-32.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-26 14:59:00,2394.0,2414.0,-32.0,-6080.0,-7360.0,0.0,-6080.0,-7360.0
2017-01-26 14:59:00,2394.0,2414.0,-32.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-03 14:59:00,2390.0,2405.0,-32.0,1280.0,2880.0,0.0,1280.0,2880.0
2017-02-03 14:59:00,2390.0,2405.0,-32.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-06 09:29:00,2411.0,2424.0,21.0,-6720.0,-6080.0,530.0,-7250.0,-6610.0
2017-02-06 09:59:00,2421.0,2433.0,54.0,2100.0,1890.0,330.0,1770.0,1560.0
2017-02-06 14:59:00,2441.0,2452.0,54.0,10800.0,10260.0,0.0,10800.0,10260.0
2017-02-06 14:59:00,2441.0,2452.0,54.0,0.0,0.0,0.0,0.0,0.0
2017-02-07 14:59:00,2441.0,2450.0,54.0,0.0,-1080.0,0.0,0.0,-1080.0
2017-02-07 14:59:00,2441.0,2450.0,54.0,0.0,0.0,0.0,0.0,0.0
2017-02-08 14:59:00,2485.0,2493.0,54.0,23760.0,23220.0,0.0,23760.0,23220.0
2017-02-08 14:59:00,2485.0,2493.0,54.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 14:59:00,2472.0,2480.0,54.0,-7020.0,-7020.0,0.0,-7020.0,-7020.0
2017-02-09 14:59:00,2472.0,2480.0,54.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 14:59:00,2508.0,2518.0,54.0,19440.0,20520.0,0.0,19440.0,20520.0
2017-02-10 14:59:00,2508.0,2518.0,54.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 14:59:00,2495.0,2506.0,54.0,-7020.0,-6480.0,0.0,-7020.0,-6480.0
2017-02-13 14:59:00,2495.0,2506.0,54.0,0.0,0.0,0.0,0.0,0.0
