stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-30 14:59:00,5450.0,5462.0,50.0,,,,,
2016-12-30 14:59:00,5450.0,5462.0,50.0,0.0,0.0,0.0,0.0,0.0
2017-01-03 14:59:00,5442.0,5446.0,50.0,-2000.0,-4000.0,0.0,-2000.0,-4000.0
2017-01-03 14:59:00,5442.0,5446.0,50.0,0.0,0.0,0.0,0.0,0.0
2017-01-04 09:29:00,5380.0,5382.0,0.0,-15500.0,-16000.0,500.0,-16000.0,-16500.0
2017-01-04 14:59:00,5384.0,5386.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04 14:59:00,5384.0,5386.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 14:59:00,5340.0,5342.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-05 14:59:00,5340.0,5342.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 14:59:00,5350.0,5352.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 14:59:00,5350.0,5352.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09 14:59:00,5376.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09 14:59:00,5376.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10 09:29:00,5326.0,5326.0,-10.0,-0.0,-0.0,100.0,-100.0,-100.0
2017-01-10 09:59:00,5310.0,5306.0,-30.0,800.0,1000.0,200.0,600.0,800.0
2017-01-10 14:59:00,5336.0,5334.0,-30.0,-3900.0,-4200.0,0.0,-3900.0,-4200.0
2017-01-10 14:59:00,5336.0,5334.0,-30.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-11 09:59:00,5390.0,5390.0,0.0,-8100.0,-8400.0,300.0,-8400.0,-8700.0
2017-01-11 11:29:00,5398.0,5398.0,10.0,0.0,0.0,100.0,-100.0,-100.0
2017-01-11 13:30:00,5396.0,5396.0,0.0,-100.0,-100.0,100.0,-200.0,-200.0
2017-01-11 13:31:00,5396.0,5394.0,10.0,0.0,-0.0,100.0,-100.0,-100.0
2017-01-11 14:59:00,5422.0,5418.0,10.0,1300.0,1200.0,0.0,1300.0,1200.0
2017-01-11 14:59:00,5422.0,5418.0,10.0,0.0,0.0,0.0,0.0,0.0
