stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-06 13:59:00,8481.0,8493.0,-12.0,,,,,
2017-01-06 13:59:00,8481.0,8493.0,-12.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 14:59:57,8426.0,8438.0,-12.0,3300.0,3300.0,0.0,3300.0,3300.0
2017-01-06 14:59:57,8426.0,8438.0,-12.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 11:29:00,8580.0,8597.0,0.0,-9240.0,-9540.0,120.0,-9360.0,-9660.0
2017-01-09 14:03:00,8550.0,8565.0,6.0,-0.0,-0.0,60.0,-60.0,-60.0
2017-01-09 14:59:00,8629.0,8645.0,6.0,2370.0,2400.0,0.0,2370.0,2400.0
2017-01-09 14:59:00,8629.0,8645.0,6.0,0.0,0.0,0.0,0.0,0.0
2017-01-10 09:31:00,8466.0,8482.0,-12.0,-4890.0,-4890.0,180.0,-5070.0,-5070.0
2017-01-10 10:14:00,8463.0,8477.0,-19.0,180.0,300.0,70.0,110.0,230.0
2017-01-10 10:59:00,8457.0,8473.0,-25.0,570.0,380.0,60.0,510.0,320.0
2017-01-10 14:00:00,8615.0,8632.0,0.0,-19750.0,-19875.0,250.0,-20000.0,-20125.0
2017-01-10 14:29:00,8558.0,8576.0,6.0,-0.0,-0.0,60.0,-60.0,-60.0
2017-01-10 14:59:00,8575.0,8590.0,19.0,510.0,420.0,130.0,380.0,290.0
2017-01-10 14:59:00,8575.0,8590.0,19.0,0.0,0.0,0.0,0.0,0.0
2017-01-11 14:59:00,8576.0,8590.0,19.0,95.0,0.0,0.0,95.0,0.0
2017-01-11 14:59:00,8576.0,8590.0,19.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 09:29:00,8809.0,8823.0,31.0,22135.0,22135.0,120.0,22015.0,22015.0
2017-01-12 13:31:00,8695.0,8707.0,6.0,-17670.0,-17980.0,250.0,-17920.0,-18230.0
2017-01-12 13:59:00,8646.0,8660.0,-0.0,-1470.0,-1410.0,60.0,-1530.0,-1470.0
2017-01-12 14:59:00,8727.0,8742.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-12 14:59:00,8727.0,8742.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-13 14:59:59,8864.0,8881.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-13 14:59:59,8864.0,8881.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-16 14:59:00,9181.0,9199.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-16 14:59:00,9181.0,9199.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-17 14:59:00,9008.0,9023.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 14:59:00,9008.0,9023.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-18 14:59:00,9076.0,9088.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-18 14:59:00,9076.0,9088.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-19 14:59:00,8933.0,8946.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19 14:59:00,8933.0,8946.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-20 13:59:00,9104.0,9119.0,19.0,-0.0,-0.0,190.0,-190.0,-190.0
2017-01-20 14:59:53,9017.0,9028.0,19.0,-8265.0,-8645.0,0.0,-8265.0,-8645.0
2017-01-20 14:59:53,9017.0,9028.0,19.0,0.0,0.0,0.0,0.0,0.0
2017-01-23 14:59:00,9177.0,9190.0,19.0,15200.0,15390.0,0.0,15200.0,15390.0
2017-01-23 14:59:00,9177.0,9190.0,19.0,0.0,0.0,0.0,0.0,0.0
2017-01-24 14:29:00,9054.0,9065.0,0.0,-11685.0,-11875.0,190.0,-11875.0,-12065.0
2017-01-24 14:59:00,9117.0,9128.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-24 14:59:00,9117.0,9128.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25 09:59:00,9314.0,9327.0,6.0,0.0,0.0,60.0,-60.0,-60.0
