profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,0.0,0.0,20170106
3950.0,300.0,3650.0,3850.0,3550.0,20170109
6600.0,0.0,6600.0,6300.0,6300.0,20170110
-600.0,0.0,-600.0,-750.0,-750.0,20170111
9000.0,0.0,9000.0,9300.0,9300.0,20170112
-10800.0,350.0,-11150.0,-10950.0,-11300.0,20170113
1300.0,300.0,1000.0,1500.0,1200.0,20170116
-1200.0,50.0,-1250.0,-1300.0,-1350.0,20170117
1650.0,0.0,1650.0,1700.0,1700.0,20170118
1150.0,0.0,1150.0,1150.0,1150.0,20170119
-2600.0,100.0,-2700.0,-2600.0,-2700.0,20170120
1450.0,50.0,1400.0,1450.0,1400.0,20170123
-4750.0,200.0,-4950.0,-4950.0,-5150.0,20170124
-1600.0,300.0,-1900.0,-1800.0,-2100.0,20170125
-2850.0,900.0,-3750.0,-2350.0,-3250.0,20170126
23300.0,200.0,23100.0,22800.0,22600.0,20170203
18000.0,0.0,18000.0,17600.0,17600.0,20170206
-4000.0,0.0,-4000.0,-4000.0,-4000.0,20170207
-1600.0,0.0,-1600.0,-2400.0,-2400.0,20170208
-8000.0,0.0,-8000.0,-8400.0,-8400.0,20170209
3900.0,100.0,3800.0,3800.0,3700.0,20170210
-1850.0,250.0,-2100.0,-1850.0,-2100.0,20170213
-14450.0,1000.0,-15450.0,-15600.0,-16600.0,20170214
1250.0,950.0,300.0,1200.0,250.0,20170215
800.0,0.0,800.0,1600.0,1600.0,20170216
19600.0,0.0,19600.0,0.0,0.0,20170217
-800.0,0.0,-800.0,17200.0,17200.0,20170220
-9200.0,0.0,-9200.0,-10000.0,-10000.0,20170221
25600.0,50.0,25550.0,26750.0,26700.0,20170222
7200.0,0.0,7200.0,8100.0,8100.0,20170223
25200.0,0.0,25200.0,28800.0,28800.0,20170224
