profit,comm,equity,profit_ZL,equity_ZL,day
-180.0,480.0,-660.0,-180.0,-660.0,20170109
-150.0,1100.0,-1250.0,360.0,-740.0,20170110
21600.0,0.0,21600.0,21000.0,21000.0,20170111
-6600.0,0.0,-6600.0,-6600.0,-6600.0,20170112
-16965.0,3080.0,-20045.0,-16965.0,-20045.0,20170113
-18735.0,3300.0,-22035.0,-18735.0,-22035.0,20170116
-8070.0,2160.0,-10230.0,-9465.0,-11625.0,20170117
3525.0,120.0,3405.0,3525.0,3405.0,20170118
-17880.0,2640.0,-20520.0,-17970.0,-20610.0,20170119
705.0,0.0,705.0,705.0,705.0,20170120
-19035.0,1140.0,-20175.0,-19035.0,-20175.0,20170123
-4530.0,2140.0,-6670.0,-4530.0,-6670.0,20170124
18330.0,1240.0,17090.0,18330.0,17090.0,20170125
35250.0,0.0,35250.0,35250.0,35250.0,20170126
-68355.0,1880.0,-70235.0,-68355.0,-70235.0,20170203
38775.0,0.0,38775.0,38775.0,38775.0,20170206
8460.0,0.0,8460.0,8460.0,8460.0,20170207
705.0,0.0,705.0,705.0,705.0,20170208
4935.0,0.0,4935.0,4935.0,4935.0,20170209
-14100.0,60.0,-14160.0,-14100.0,-14160.0,20170210
52410.0,60.0,52350.0,52410.0,52350.0,20170213
2820.0,0.0,2820.0,2820.0,2820.0,20170214
-9870.0,0.0,-9870.0,-9165.0,-9165.0,20170215
5415.0,180.0,5235.0,4005.0,3825.0,20170216
660.0,240.0,420.0,0.0,-240.0,20170217
-12015.0,1080.0,-13095.0,-10335.0,-11415.0,20170220
2370.0,980.0,1390.0,525.0,-455.0,20170221
-4485.0,1380.0,-5865.0,-4485.0,-5865.0,20170222
-6915.0,3200.0,-10115.0,-7200.0,-10400.0,20170223
-6345.0,1420.0,-7765.0,-4230.0,-5650.0,20170224
