profit,comm,equity,profit_ZL,equity_ZL,day
-60.0,120.0,-180.0,-120.0,-240.0,20170111
-180.0,180.0,-360.0,-180.0,-360.0,20170112
-2000.0,340.0,-2340.0,-1840.0,-2180.0,20170113
4880.0,1180.0,3700.0,4120.0,2940.0,20170116
16720.0,0.0,16720.0,14060.0,14060.0,20170117
-16900.0,320.0,-17220.0,-15800.0,-16120.0,20170118
260.0,40.0,220.0,220.0,180.0,20170119
-2600.0,460.0,-3060.0,-2220.0,-2680.0,20170120
800.0,0.0,800.0,640.0,640.0,20170123
4060.0,1640.0,2420.0,2460.0,820.0,20170124
-13300.0,1880.0,-15180.0,-14840.0,-16720.0,20170125
7200.0,0.0,7200.0,7800.0,7800.0,20170126
18000.0,0.0,18000.0,18000.0,18000.0,20170203
-21000.0,480.0,-21480.0,-21060.0,-21540.0,20170206
7360.0,300.0,7060.0,6960.0,6660.0,20170207
-20240.0,1860.0,-22100.0,-20800.0,-22660.0,20170208
-4400.0,120.0,-4520.0,-5280.0,-5400.0,20170209
17040.0,360.0,16680.0,16600.0,16240.0,20170210
-13640.0,0.0,-13640.0,-14960.0,-14960.0,20170213
16000.0,1720.0,14280.0,15020.0,13300.0,20170214
9120.0,0.0,9120.0,10640.0,10640.0,20170215
9880.0,0.0,9880.0,10640.0,10640.0,20170216
38760.0,0.0,38760.0,0.0,0.0,20170217
-12920.0,0.0,-12920.0,32680.0,32680.0,20170220
6840.0,0.0,6840.0,9120.0,9120.0,20170221
6840.0,0.0,6840.0,7600.0,7600.0,20170222
28720.0,120.0,28600.0,28600.0,28480.0,20170223
-4560.0,0.0,-4560.0,5320.0,5320.0,20170224
