profit,comm,equity,profit_ZL,equity_ZL,day
-5230.0,1490.0,-6720.0,-6670.0,-8160.0,20170109
-20340.0,1160.0,-21500.0,-24900.0,-26060.0,20170110
-35440.0,1040.0,-36480.0,-34680.0,-35720.0,20170111
-5560.0,170.0,-5730.0,-5350.0,-5520.0,20170112
-15770.0,1730.0,-17500.0,-18690.0,-20420.0,20170113
-26760.0,1340.0,-28100.0,-33930.0,-35270.0,20170116
3050.0,780.0,2270.0,3890.0,3110.0,20170117
-10700.0,1440.0,-12140.0,-10750.0,-12190.0,20170118
44100.0,60.0,44040.0,46920.0,46860.0,20170119
-60370.0,980.0,-61350.0,-64310.0,-65290.0,20170120
-8070.0,850.0,-8920.0,-8010.0,-8860.0,20170123
7640.0,170.0,7470.0,7340.0,7170.0,20170124
1260.0,0.0,1260.0,840.0,840.0,20170125
-8510.0,1250.0,-9760.0,-9070.0,-10320.0,20170126
-20260.0,1030.0,-21290.0,-21170.0,-22200.0,20170203
-35310.0,780.0,-36090.0,-36340.0,-37120.0,20170206
3780.0,0.0,3780.0,3780.0,3780.0,20170207
-30750.0,1120.0,-31870.0,-34450.0,-35570.0,20170208
11820.0,460.0,11360.0,12990.0,12530.0,20170209
-5760.0,0.0,-5760.0,-4680.0,-4680.0,20170210
-22360.0,1120.0,-23480.0,-24290.0,-25410.0,20170213
-17080.0,1410.0,-18490.0,-18510.0,-19920.0,20170214
25620.0,110.0,25510.0,27700.0,27590.0,20170215
-1260.0,0.0,-1260.0,0.0,0.0,20170216
-2100.0,0.0,-2100.0,0.0,0.0,20170217
330.0,90.0,240.0,-540.0,-630.0,20170220
-9330.0,790.0,-10120.0,-8680.0,-9470.0,20170221
-13730.0,760.0,-14490.0,-13800.0,-14560.0,20170222
-14140.0,650.0,-14790.0,-14630.0,-15280.0,20170223
21040.0,210.0,20830.0,21320.0,21110.0,20170224
