profit,comm,equity,profit_ZL,equity_ZL,day
350.0,150.0,200.0,400.0,250.0,20170106
9750.0,400.0,9350.0,9950.0,9550.0,20170109
56000.0,0.0,56000.0,54600.0,54600.0,20170110
-5600.0,0.0,-5600.0,-4900.0,-4900.0,20170111
-18100.0,750.0,-18850.0,-18200.0,-18950.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
-4950.0,400.0,-5350.0,-4950.0,-5350.0,20170116
8300.0,800.0,7500.0,7500.0,6700.0,20170117
-18000.0,400.0,-18400.0,-17200.0,-17600.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
-850.0,50.0,-900.0,-950.0,-1000.0,20170120
-9675.0,1025.0,-10700.0,-9750.0,-10775.0,20170123
-10175.0,100.0,-10275.0,-8575.0,-8675.0,20170124
10775.0,150.0,10625.0,9950.0,9800.0,20170125
42400.0,500.0,41900.0,41075.0,40575.0,20170126
-71475.0,1375.0,-72850.0,-68950.0,-70325.0,20170203
9150.0,300.0,8850.0,9550.0,9250.0,20170206
-15150.0,150.0,-15300.0,-14900.0,-15050.0,20170207
-12925.0,775.0,-13700.0,-13525.0,-14300.0,20170208
7425.0,0.0,7425.0,4725.0,4725.0,20170209
63450.0,0.0,63450.0,58725.0,58725.0,20170210
69525.0,0.0,69525.0,72900.0,72900.0,20170213
-21675.0,775.0,-22450.0,-22925.0,-23700.0,20170214
0.0,0.0,0.0,0.0,0.0,20170215
0.0,0.0,0.0,0.0,0.0,20170216
0.0,0.0,0.0,0.0,0.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
50.0,150.0,-100.0,100.0,-50.0,20170221
-6850.0,550.0,-7400.0,-6700.0,-7250.0,20170222
10300.0,50.0,10250.0,10950.0,10900.0,20170223
22750.0,0.0,22750.0,25550.0,25550.0,20170224
