profit,comm,equity,profit_ZL,equity_ZL,day
1200.0,100.0,1100.0,1200.0,1100.0,20170111
-2100.0,430.0,-2530.0,-2100.0,-2530.0,20170112
-7060.0,1350.0,-8410.0,-7060.0,-8410.0,20170113
33280.0,0.0,33280.0,32240.0,32240.0,20170116
-4160.0,0.0,-4160.0,-5200.0,-5200.0,20170117
27040.0,0.0,27040.0,26000.0,26000.0,20170118
-3120.0,0.0,-3120.0,-8320.0,-8320.0,20170119
-11440.0,0.0,-11440.0,-12480.0,-12480.0,20170120
21840.0,0.0,21840.0,21840.0,21840.0,20170123
-16860.0,330.0,-17190.0,-18940.0,-19270.0,20170124
-15610.0,930.0,-16540.0,-15400.0,-16330.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
5780.0,2620.0,3160.0,3490.0,870.0,20170203
57720.0,0.0,57720.0,53040.0,53040.0,20170206
-20280.0,0.0,-20280.0,-20280.0,-20280.0,20170207
15600.0,0.0,15600.0,14040.0,14040.0,20170208
-24530.0,1780.0,-26310.0,-26510.0,-28290.0,20170209
0.0,300.0,-300.0,0.0,-300.0,20170210
-2290.0,1250.0,-3540.0,-1570.0,-2820.0,20170213
8990.0,0.0,8990.0,8990.0,8990.0,20170214
4030.0,0.0,4030.0,4030.0,4030.0,20170215
-2790.0,0.0,-2790.0,-2480.0,-2480.0,20170216
4650.0,0.0,4650.0,4960.0,4960.0,20170217
-7770.0,310.0,-8080.0,-7980.0,-8290.0,20170220
-3370.0,520.0,-3890.0,-3370.0,-3890.0,20170221
11440.0,0.0,11440.0,11960.0,11960.0,20170222
-520.0,200.0,-720.0,-1460.0,-1660.0,20170223
5100.0,100.0,5000.0,0.0,-100.0,20170224
