profit,comm,equity,profit_ZL,equity_ZL,day
36600.0,1170.0,35430.0,37340.0,36170.0,20170109
83160.0,560.0,82600.0,83910.0,83350.0,20170110
4500.0,0.0,4500.0,5250.0,5250.0,20170111
16780.0,820.0,15960.0,17460.0,16640.0,20170112
-10900.0,470.0,-11370.0,-10900.0,-11370.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
1050.0,70.0,980.0,1120.0,1050.0,20170125
4270.0,0.0,4270.0,4200.0,4200.0,20170126
-2310.0,490.0,-2800.0,-2240.0,-2730.0,20170203
-140.0,0.0,-140.0,-420.0,-420.0,20170206
-7350.0,140.0,-7490.0,-7420.0,-7560.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-490.0,140.0,-630.0,-420.0,-560.0,20170210
0.0,0.0,0.0,0.0,0.0,20170213
0.0,0.0,0.0,0.0,0.0,20170214
0.0,0.0,0.0,0.0,0.0,20170215
-36140.0,1410.0,-37550.0,-36220.0,-37630.0,20170216
10330.0,610.0,9720.0,59840.0,59230.0,20170217
11150.0,490.0,10660.0,11690.0,11200.0,20170220
2480.0,1030.0,1450.0,2890.0,1860.0,20170221
-24090.0,1220.0,-25310.0,-24560.0,-25780.0,20170222
48280.0,0.0,48280.0,48280.0,48280.0,20170223
61200.0,0.0,61200.0,69360.0,69360.0,20170224
