profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,75.0,75.0,20170106
-325.0,0.0,-325.0,-250.0,-250.0,20170109
-475.0,100.0,-575.0,-625.0,-725.0,20170110
27560.0,700.0,26860.0,26645.0,25945.0,20170111
-12740.0,480.0,-13220.0,-12310.0,-12790.0,20170112
-10370.0,1430.0,-11800.0,-9550.0,-10980.0,20170113
-1075.0,110.0,-1185.0,-935.0,-1045.0,20170116
-11710.0,2140.0,-13850.0,-11700.0,-13840.0,20170117
-6000.0,0.0,-6000.0,-3000.0,-3000.0,20170118
-13535.0,1680.0,-15215.0,-16585.0,-18265.0,20170119
-11385.0,1390.0,-12775.0,-12470.0,-13860.0,20170120
-10810.0,1480.0,-12290.0,-11085.0,-12565.0,20170123
3585.0,1280.0,2305.0,-175.0,-1455.0,20170124
-7020.0,330.0,-7350.0,-10855.0,-11185.0,20170125
2660.0,620.0,2040.0,-710.0,-1330.0,20170126
-8745.0,1490.0,-10235.0,-9685.0,-11175.0,20170203
-10400.0,0.0,-10400.0,-7200.0,-7200.0,20170206
2000.0,0.0,2000.0,1200.0,1200.0,20170207
1200.0,0.0,1200.0,-3600.0,-3600.0,20170208
2000.0,0.0,2000.0,1200.0,1200.0,20170209
-4000.0,0.0,-4000.0,-2000.0,-2000.0,20170210
-15095.0,1350.0,-16445.0,-16130.0,-17480.0,20170213
-645.0,0.0,-645.0,-1075.0,-1075.0,20170214
-8590.0,1750.0,-10340.0,-8750.0,-10500.0,20170215
-2940.0,620.0,-3560.0,-2555.0,-3175.0,20170216
13200.0,0.0,13200.0,16000.0,16000.0,20170217
-10800.0,0.0,-10800.0,-2800.0,-2800.0,20170220
-3590.0,1600.0,-5190.0,-4280.0,-5880.0,20170221
20800.0,0.0,20800.0,8000.0,8000.0,20170222
-4800.0,0.0,-4800.0,-8400.0,-8400.0,20170223
12400.0,0.0,12400.0,16000.0,16000.0,20170224
