profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,0.0,0.0,20161230
-6400.0,0.0,-6400.0,-6600.0,-6600.0,20170103
2600.0,0.0,2600.0,2600.0,2600.0,20170104
-3600.0,50.0,-3650.0,-3600.0,-3650.0,20170105
-2650.0,100.0,-2750.0,-2650.0,-2750.0,20170106
2900.0,150.0,2750.0,2900.0,2750.0,20170109
7000.0,0.0,7000.0,7000.0,7000.0,20170110
1400.0,0.0,1400.0,1400.0,1400.0,20170111
1600.0,0.0,1600.0,1600.0,1600.0,20170112
-5850.0,250.0,-6100.0,-5850.0,-6100.0,20170113
3700.0,350.0,3350.0,3850.0,3500.0,20170116
6600.0,0.0,6600.0,6600.0,6600.0,20170117
-4400.0,0.0,-4400.0,-4400.0,-4400.0,20170118
-12550.0,400.0,-12950.0,-12650.0,-13050.0,20170119
-3000.0,0.0,-3000.0,-2800.0,-2800.0,20170120
-12300.0,450.0,-12750.0,-12500.0,-12950.0,20170123
-1500.0,150.0,-1650.0,-1500.0,-1650.0,20170124
3850.0,350.0,3500.0,3750.0,3400.0,20170125
10000.0,0.0,10000.0,10000.0,10000.0,20170126
-21500.0,500.0,-22000.0,-21500.0,-22000.0,20170203
13500.0,0.0,13500.0,13500.0,13500.0,20170206
11000.0,0.0,11000.0,11000.0,11000.0,20170207
1250.0,0.0,1250.0,1250.0,1250.0,20170208
7250.0,0.0,7250.0,7250.0,7250.0,20170209
-14500.0,0.0,-14500.0,-14750.0,-14750.0,20170210
5750.0,0.0,5750.0,5750.0,5750.0,20170213
-3200.0,200.0,-3400.0,-3350.0,-3550.0,20170214
-3150.0,0.0,-3150.0,-3150.0,-3150.0,20170215
3250.0,100.0,3150.0,3000.0,2900.0,20170216
5250.0,0.0,5250.0,0.0,0.0,20170217
-3550.0,250.0,-3800.0,1700.0,1450.0,20170220
1600.0,150.0,1450.0,1600.0,1450.0,20170221
-750.0,0.0,-750.0,-900.0,-900.0,20170222
1700.0,100.0,1600.0,1950.0,1850.0,20170223
17000.0,0.0,17000.0,12750.0,12750.0,20170224
5250.0,0.0,5250.0,0.0,0.0,20170227
-4750.0,0.0,-4750.0,0.0,0.0,20170228
-9950.0,250.0,-10200.0,0.0,-250.0,20170301
