profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,0.0,0.0,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
12675.0,650.0,12025.0,12675.0,12025.0,20170106
-26725.0,2200.0,-28925.0,-27125.0,-29325.0,20170109
-1375.0,375.0,-1750.0,-1625.0,-2000.0,20170110
-4800.0,150.0,-4950.0,-4275.0,-4425.0,20170111
-3800.0,775.0,-4575.0,-4850.0,-5625.0,20170112
14625.0,375.0,14250.0,14625.0,14250.0,20170113
12375.0,0.0,12375.0,12375.0,12375.0,20170116
-10125.0,375.0,-10500.0,-10500.0,-10875.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
8375.0,775.0,7600.0,7600.0,6825.0,20170120
9300.0,0.0,9300.0,9300.0,9300.0,20170123
-13550.0,2975.0,-16525.0,-13550.0,-16525.0,20170124
-7175.0,1425.0,-8600.0,-7175.0,-8600.0,20170125
-23500.0,1550.0,-25050.0,-23125.0,-24675.0,20170126
-25575.0,1550.0,-27125.0,-27125.0,-28675.0,20170203
-18800.0,1550.0,-20350.0,-19450.0,-21000.0,20170206
-11625.0,1425.0,-13050.0,-12400.0,-13825.0,20170207
10250.0,125.0,10125.0,11550.0,11425.0,20170208
-775.0,0.0,-775.0,775.0,775.0,20170209
-10075.0,775.0,-10850.0,-10850.0,-11625.0,20170210
14950.0,650.0,14300.0,14300.0,13650.0,20170213
-2600.0,0.0,-2600.0,-1950.0,-1950.0,20170214
-25350.0,900.0,-26250.0,-26000.0,-26900.0,20170215
11375.0,125.0,11250.0,11125.0,11000.0,20170216
2250.0,0.0,2250.0,1875.0,1875.0,20170217
-3000.0,0.0,-3000.0,-3000.0,-3000.0,20170220
-2250.0,375.0,-2625.0,-2625.0,-3000.0,20170221
0.0,0.0,0.0,0.0,0.0,20170222
10625.0,375.0,10250.0,10250.0,9875.0,20170223
-1250.0,375.0,-1625.0,-4125.0,-4500.0,20170224
-8125.0,750.0,-8875.0,0.0,-750.0,20170227
-3800.0,2075.0,-5875.0,0.0,-2075.0,20170228
-575.0,275.0,-850.0,0.0,-275.0,20170301
