profit,comm,equity,profit_ZL,equity_ZL,day
810.0,0.0,810.0,1110.0,1110.0,20161230
-7620.0,300.0,-7920.0,-7920.0,-8220.0,20170103
-46020.0,600.0,-46620.0,-46320.0,-46920.0,20170104
-7410.0,420.0,-7830.0,-7110.0,-7530.0,20170105
-10110.0,960.0,-11070.0,-10350.0,-11310.0,20170106
-9330.0,1380.0,-10710.0,-9810.0,-11190.0,20170109
13860.0,0.0,13860.0,13680.0,13680.0,20170110
11160.0,0.0,11160.0,11160.0,11160.0,20170111
-29550.0,600.0,-30150.0,-29610.0,-30210.0,20170112
3030.0,120.0,2910.0,3150.0,3030.0,20170113
-39360.0,720.0,-40080.0,-40170.0,-40890.0,20170116
-6120.0,720.0,-6840.0,-7560.0,-8280.0,20170117
2340.0,0.0,2340.0,2340.0,2340.0,20170118
2880.0,0.0,2880.0,3060.0,3060.0,20170119
56520.0,0.0,56520.0,56520.0,56520.0,20170120
-22680.0,1080.0,-23760.0,-22500.0,-23580.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
0.0,120.0,-120.0,-120.0,-240.0,20170206
-180.0,0.0,-180.0,-240.0,-240.0,20170207
4200.0,0.0,4200.0,4140.0,4140.0,20170208
-1500.0,0.0,-1500.0,-1560.0,-1560.0,20170209
-30.0,180.0,-210.0,-60.0,-240.0,20170210
36000.0,0.0,36000.0,35550.0,35550.0,20170213
17100.0,0.0,17100.0,17100.0,17100.0,20170214
-6600.0,0.0,-6600.0,-6750.0,-6750.0,20170215
9300.0,300.0,9000.0,8850.0,8550.0,20170216
0.0,0.0,0.0,0.0,0.0,20170217
1530.0,120.0,1410.0,1560.0,1440.0,20170220
-120.0,240.0,-360.0,-120.0,-360.0,20170221
10500.0,0.0,10500.0,10620.0,10620.0,20170222
6780.0,0.0,6780.0,6900.0,6900.0,20170223
-3600.0,120.0,-3720.0,2220.0,2100.0,20170224
-11790.0,600.0,-12390.0,0.0,-600.0,20170227
-180.0,0.0,-180.0,0.0,0.0,20170228
7740.0,0.0,7740.0,0.0,0.0,20170301
