profit,comm,equity,profit_ZL,equity_ZL,day
400.0,400.0,0.0,400.0,0.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
0.0,0.0,0.0,0.0,0.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
33750.0,1180.0,32570.0,35710.0,34530.0,20170203
18290.0,0.0,18290.0,18290.0,18290.0,20170206
-31860.0,1180.0,-33040.0,-34220.0,-35400.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-5600.0,200.0,-5800.0,-5800.0,-6000.0,20170210
10700.0,0.0,10700.0,10900.0,10900.0,20170213
-4700.0,200.0,-4900.0,-4600.0,-4800.0,20170214
0.0,0.0,0.0,0.0,0.0,20170215
-3900.0,1200.0,-5100.0,-4200.0,-5400.0,20170216
400.0,200.0,200.0,9200.0,9000.0,20170217
6900.0,0.0,6900.0,7300.0,7300.0,20170220
2800.0,200.0,2600.0,2900.0,2700.0,20170221
-500.0,400.0,-900.0,-500.0,-900.0,20170222
-400.0,200.0,-600.0,-800.0,-1000.0,20170223
2200.0,200.0,2000.0,7500.0,7300.0,20170224
-8740.0,1360.0,-10100.0,0.0,-1360.0,20170227
-12700.0,600.0,-13300.0,0.0,-600.0,20170228
0.0,0.0,0.0,0.0,0.0,20170301
