profit,comm,equity,profit_ZL,equity_ZL,day
220.0,0.0,220.0,110.0,110.0,20161230
3520.0,0.0,3520.0,3410.0,3410.0,20170103
-3300.0,0.0,-3300.0,-3520.0,-3520.0,20170104
-1760.0,110.0,-1870.0,-1650.0,-1760.0,20170105
-660.0,110.0,-770.0,-880.0,-990.0,20170106
770.0,0.0,770.0,660.0,660.0,20170109
0.0,0.0,0.0,-110.0,-110.0,20170110
-980.0,320.0,-1300.0,-560.0,-880.0,20170111
-1470.0,0.0,-1470.0,-1470.0,-1470.0,20170112
12600.0,0.0,12600.0,13020.0,13020.0,20170113
7770.0,0.0,7770.0,8400.0,8400.0,20170116
1470.0,0.0,1470.0,1890.0,1890.0,20170117
2100.0,0.0,2100.0,2310.0,2310.0,20170118
3780.0,0.0,3780.0,3780.0,3780.0,20170119
-7540.0,520.0,-8060.0,-7430.0,-7950.0,20170120
-770.0,110.0,-880.0,-990.0,-1100.0,20170123
-750.0,320.0,-1070.0,-1180.0,-1500.0,20170124
-7560.0,640.0,-8200.0,-8300.0,-8940.0,20170125
-6080.0,0.0,-6080.0,-7360.0,-7360.0,20170126
1280.0,0.0,1280.0,2880.0,2880.0,20170203
6180.0,860.0,5320.0,6070.0,5210.0,20170206
0.0,0.0,0.0,-1080.0,-1080.0,20170207
23760.0,0.0,23760.0,23220.0,23220.0,20170208
-7020.0,0.0,-7020.0,-7020.0,-7020.0,20170209
19440.0,0.0,19440.0,20520.0,20520.0,20170210
-7020.0,0.0,-7020.0,-6480.0,-6480.0,20170213
-12730.0,330.0,-13060.0,-13160.0,-13490.0,20170214
-3440.0,430.0,-3870.0,-3010.0,-3440.0,20170215
-5460.0,210.0,-5670.0,-5990.0,-6200.0,20170216
7140.0,420.0,6720.0,0.0,-420.0,20170217
-2520.0,0.0,-2520.0,8400.0,8400.0,20170220
-17300.0,850.0,-18150.0,-18590.0,-19440.0,20170221
-5070.0,1280.0,-6350.0,-5070.0,-6350.0,20170222
26240.0,0.0,26240.0,28800.0,28800.0,20170223
-2560.0,0.0,-2560.0,4480.0,4480.0,20170224
-9600.0,640.0,-10240.0,0.0,-640.0,20170227
110.0,110.0,0.0,0.0,-110.0,20170228
-5530.0,320.0,-5850.0,0.0,-320.0,20170301
