profit,comm,equity,profit_ZL,equity_ZL,day
480.0,60.0,420.0,180.0,120.0,20170104
1080.0,0.0,1080.0,1080.0,1080.0,20170105
12960.0,0.0,12960.0,13320.0,13320.0,20170106
-4320.0,0.0,-4320.0,-4320.0,-4320.0,20170109
-10080.0,0.0,-10080.0,-9720.0,-9720.0,20170110
-1840.0,580.0,-2420.0,-2060.0,-2640.0,20170111
-1760.0,0.0,-1760.0,-1980.0,-1980.0,20170112
440.0,0.0,440.0,440.0,440.0,20170113
7260.0,0.0,7260.0,7040.0,7040.0,20170116
2200.0,0.0,2200.0,2640.0,2640.0,20170117
-440.0,0.0,-440.0,-440.0,-440.0,20170118
-1100.0,0.0,-1100.0,-1100.0,-1100.0,20170119
-1260.0,80.0,-1340.0,-1340.0,-1420.0,20170120
-1680.0,60.0,-1740.0,-1960.0,-2020.0,20170123
9520.0,220.0,9300.0,9580.0,9360.0,20170124
-9600.0,440.0,-10040.0,-9900.0,-10340.0,20170125
5120.0,240.0,4880.0,4900.0,4660.0,20170126
9020.0,0.0,9020.0,9020.0,9020.0,20170203
-880.0,0.0,-880.0,-1100.0,-1100.0,20170206
2420.0,0.0,2420.0,2200.0,2200.0,20170207
-6600.0,80.0,-6680.0,-6820.0,-6900.0,20170208
1980.0,80.0,1900.0,2420.0,2340.0,20170209
-6200.0,300.0,-6500.0,-6420.0,-6720.0,20170210
-1520.0,520.0,-2040.0,-1520.0,-2040.0,20170213
8800.0,0.0,8800.0,8800.0,8800.0,20170214
-440.0,0.0,-440.0,-440.0,-440.0,20170215
1080.0,420.0,660.0,2400.0,1980.0,20170216
17420.0,140.0,17280.0,0.0,-140.0,20170217
-1760.0,0.0,-1760.0,22440.0,22440.0,20170220
5280.0,0.0,5280.0,6160.0,6160.0,20170221
3960.0,0.0,3960.0,3520.0,3520.0,20170222
14960.0,0.0,14960.0,15400.0,15400.0,20170223
-1320.0,0.0,-1320.0,4840.0,4840.0,20170224
1320.0,0.0,1320.0,0.0,0.0,20170227
1760.0,0.0,1760.0,0.0,0.0,20170228
-19360.0,440.0,-19800.0,0.0,-440.0,20170301
