profit,comm,equity,profit_ZL,equity_ZL,day
-4880.0,160.0,-5040.0,-5440.0,-5600.0,20170206
2880.0,0.0,2880.0,3120.0,3120.0,20170207
-720.0,0.0,-720.0,-720.0,-720.0,20170208
-8400.0,240.0,-8640.0,-9120.0,-9360.0,20170209
-1760.0,240.0,-2000.0,-2240.0,-2480.0,20170210
-2880.0,240.0,-3120.0,-3360.0,-3600.0,20170213
-2080.0,1280.0,-3360.0,-2080.0,-3360.0,20170214
-16800.0,960.0,-17760.0,-17440.0,-18400.0,20170215
21120.0,0.0,21120.0,22080.0,22080.0,20170216
11520.0,0.0,11520.0,0.0,0.0,20170217
15840.0,0.0,15840.0,28320.0,28320.0,20170220
-960.0,0.0,-960.0,-480.0,-480.0,20170221
2400.0,0.0,2400.0,2880.0,2880.0,20170222
20160.0,0.0,20160.0,21120.0,21120.0,20170223
-30240.0,560.0,-30800.0,-32160.0,-32720.0,20170224
4000.0,560.0,3440.0,0.0,-560.0,20170227
11840.0,0.0,11840.0,0.0,0.0,20170228
2560.0,0.0,2560.0,0.0,0.0,20170301
