profit,comm,equity,profit_ZL,equity_ZL,day
-2450.0,320.0,-2770.0,-2450.0,-2770.0,20161230
-350.0,1630.0,-1980.0,-1330.0,-2960.0,20170103
13720.0,0.0,13720.0,14700.0,14700.0,20170104
-6860.0,0.0,-6860.0,-6860.0,-6860.0,20170105
-6900.0,2620.0,-9520.0,-5920.0,-8540.0,20170106
6860.0,0.0,6860.0,6860.0,6860.0,20170109
3920.0,0.0,3920.0,4900.0,4900.0,20170110
-5220.0,330.0,-5550.0,-4240.0,-4570.0,20170111
-1320.0,330.0,-1650.0,-2300.0,-2630.0,20170112
-16320.0,1960.0,-18280.0,-15670.0,-17630.0,20170113
14700.0,0.0,14700.0,15680.0,15680.0,20170116
-3920.0,0.0,-3920.0,-4900.0,-4900.0,20170117
39200.0,0.0,39200.0,37240.0,37240.0,20170118
-980.0,0.0,-980.0,-3920.0,-3920.0,20170119
8820.0,0.0,8820.0,5880.0,5880.0,20170120
7840.0,0.0,7840.0,8820.0,8820.0,20170123
-10780.0,0.0,-10780.0,-12740.0,-12740.0,20170124
-10780.0,980.0,-11760.0,-8820.0,-9800.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
1980.0,330.0,1650.0,1980.0,1650.0,20170203
8910.0,0.0,8910.0,8910.0,8910.0,20170206
-1980.0,330.0,-2310.0,-1980.0,-2310.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-640.0,160.0,-800.0,-640.0,-800.0,20170210
320.0,320.0,0.0,-160.0,-480.0,20170213
4320.0,0.0,4320.0,4800.0,4800.0,20170214
1920.0,0.0,1920.0,1920.0,1920.0,20170215
-1920.0,0.0,-1920.0,-1600.0,-1600.0,20170216
640.0,0.0,640.0,960.0,960.0,20170217
-1120.0,160.0,-1280.0,-1280.0,-1440.0,20170220
-5850.0,650.0,-6500.0,-8120.0,-8770.0,20170221
7800.0,0.0,7800.0,7800.0,7800.0,20170222
-9100.0,0.0,-9100.0,-9100.0,-9100.0,20170223
-4870.0,1460.0,-6330.0,-6640.0,-8100.0,20170224
5700.0,1650.0,4050.0,0.0,-1650.0,20170227
1640.0,0.0,1640.0,0.0,0.0,20170228
-820.0,0.0,-820.0,0.0,0.0,20170301
