profit,comm,equity,profit_ZL,equity_ZL,day
3300.0,0.0,3300.0,3300.0,3300.0,20170106
-6870.0,180.0,-7050.0,-7140.0,-7320.0,20170109
-23380.0,750.0,-24130.0,-23665.0,-24415.0,20170110
95.0,0.0,95.0,0.0,0.0,20170111
2995.0,430.0,2565.0,2745.0,2315.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
-8265.0,190.0,-8455.0,-8645.0,-8835.0,20170120
15200.0,0.0,15200.0,15390.0,15390.0,20170123
-11685.0,190.0,-11875.0,-11875.0,-12065.0,20170124
2730.0,60.0,2670.0,2730.0,2670.0,20170125
-4560.0,60.0,-4620.0,-4590.0,-4650.0,20170126
-11040.0,360.0,-11400.0,-11100.0,-11460.0,20170203
-4750.0,370.0,-5120.0,-4685.0,-5055.0,20170206
-6245.0,500.0,-6745.0,-6750.0,-7250.0,20170207
-1580.0,260.0,-1840.0,-785.0,-1045.0,20170208
-32780.0,1110.0,-33890.0,-33640.0,-34750.0,20170209
-18595.0,430.0,-19025.0,-19145.0,-19575.0,20170210
-20315.0,560.0,-20875.0,-21940.0,-22500.0,20170213
4995.0,0.0,4995.0,4995.0,4995.0,20170214
-25900.0,490.0,-26390.0,-26640.0,-27130.0,20170215
26560.0,130.0,26430.0,26995.0,26865.0,20170216
7625.0,0.0,7625.0,7375.0,7375.0,20170217
-9875.0,250.0,-10125.0,-10000.0,-10250.0,20170220
9750.0,120.0,9630.0,9660.0,9540.0,20170221
180.0,0.0,180.0,300.0,300.0,20170222
8280.0,0.0,8280.0,7980.0,7980.0,20170223
-1200.0,0.0,-1200.0,-1860.0,-1860.0,20170224
-8160.0,180.0,-8340.0,0.0,-180.0,20170227
3210.0,0.0,3210.0,0.0,0.0,20170228
570.0,0.0,570.0,0.0,0.0,20170301
