,index,0_zhishu,0_ZL,dist
0,A,43490.0,52800.0,9310.0
1,AG,-13280.0,22870.0,36150.0
2,AL,54600.0,51225.0,-3375.0
3,AU,-9700.0,-14750.0,-5050.0
4,bu,32860.0,31480.0,-1380.0
5,c,113600.0,134560.0,20960.0
6,CF,-41775.0,-46225.0,-4450.0
7,cs,46940.0,34420.0,-12520.0
8,CU,171550.0,171750.0,200.0
9,FG,45960.0,33560.0,-12400.0
10,hc,124570.0,129160.0,4590.0
11,I,82450.0,91550.0,9100.0
12,J,88100.0,19350.0,-68750.0
13,jd,-68540.0,-74890.0,-6350.0
14,JM,105510.0,105330.0,-180.0
15,L,-8425.0,-10700.0,-2275.0
16,M,80460.0,59280.0,-21180.0
17,MA,-24590.0,-33670.0,-9080.0
18,NI,165290.0,180850.0,15560.0
19,OI,-43900.0,-38660.0,5240.0
20,P,-3540.0,-9800.0,-6260.0
21,pp,-42630.0,-48415.0,-5785.0
22,RB,124150.0,124900.0,750.0
23,RM,45910.0,45110.0,-800.0
24,RU,146200.0,138800.0,-7400.0
25,SR,-110510.0,-114650.0,-4140.0
26,TA,30080.0,28470.0,-1610.0
27,YY,-65380.0,-61960.0,3420.0
28,ZC,51740.0,37820.0,-13920.0
29,ZN,108325.0,107950.0,-375.0
