,index,0_zhishu,0_ZL,dist
0,A,27530.0,68590.0,41060.0
1,AG,8580.0,-14100.0,-22680.0
2,AL,-62125.0,-84700.0,-22575.0
3,AU,-14550.0,-17500.0,-2950.0
4,bu,59760.0,50620.0,-9140.0
5,c,154240.0,169060.0,14820.0
6,CF,-35100.0,-33950.0,1150.0
7,cs,55900.0,32900.0,-23000.0
8,CU,206450.0,212650.0,6200.0
9,FG,168360.0,159280.0,-9080.0
10,hc,203110.0,206490.0,3380.0
11,I,135150.0,135650.0,500.0
12,J,197300.0,191450.0,-5850.0
13,jd,-45800.0,-47100.0,-1300.0
14,JM,57450.0,47940.0,-9510.0
15,L,-3675.0,-5625.0,-1950.0
16,M,39550.0,11000.0,-28550.0
17,MA,61280.0,55340.0,-5940.0
18,NI,17150.0,56130.0,38980.0
19,OI,-1400.0,34040.0,35440.0
20,P,33540.0,18760.0,-14780.0
21,pp,7845.0,5735.0,-2110.0
22,RB,126970.0,128210.0,1240.0
23,RM,64650.0,59430.0,-5220.0
24,RU,212450.0,213650.0,1200.0
25,SR,-126040.0,-129070.0,-3030.0
26,TA,38810.0,52360.0,13550.0
27,YY,-26500.0,-23380.0,3120.0
28,ZC,93960.0,84420.0,-9540.0
29,ZN,145575.0,177250.0,31675.0
