day,Col_sum,Col_sum_zl
20161011,18275.0,18225.0
20161012,51185.0,55100.0
20161013,11320.0,11160.0
20161014,26060.0,25925.0
20161015,85545.0,90890.0
20161017,8310.0,-1635.0
20161018,4845.0,10910.0
20161019,-28140.0,-29425.0
20161020,56895.0,53790.0
20161021,-80345.0,-77180.0
20161022,-8960.0,-5440.0
20161024,58430.0,61015.0
20161025,180045.0,176385.0
20161026,-12040.0,-6445.0
20161027,2470.0,9920.0
20161028,74950.0,68710.0
20161029,16520.0,9225.0
20161031,75655.0,83855.0
20161101,-63035.0,-73705.0
20161102,120035.0,119255.0
20161103,16855.0,17050.0
20161104,5035.0,15185.0
20161105,58260.0,61555.0
20161107,150855.0,157255.0
20161108,60995.0,68900.0
20161109,-39025.0,-38230.0
20161110,105770.0,116870.0
20161111,148890.0,125560.0
20161112,-63680.0,-93835.0
20161114,-5805.0,46265.0
20161115,-17020.0,-12135.0
20161116,-83665.0,-113975.0
20161117,17630.0,17270.0
20161118,8230.0,1185.0
20161119,-3585.0,4070.0
20161121,61610.0,53060.0
20161122,168955.0,148215.0
20161123,-37480.0,-66795.0
20161124,89715.0,60785.0
20161125,51050.0,94955.0
20161126,-4730.0,-8895.0
20161128,91325.0,91440.0
20161129,-80615.0,-106250.0
20161130,18855.0,30610.0
20161201,-136420.0,-143095.0
20161202,81430.0,83545.0
20161203,-4060.0,-10310.0
20161205,80835.0,93590.0
20161206,-15235.0,-26985.0
20161207,33980.0,34015.0
20161208,-44735.0,-49360.0
20161209,55150.0,51740.0
20161210,-15815.0,-15150.0
20161212,-109680.0,-117790.0
20161213,-24030.0,-27850.0
20161214,-122425.0,-125650.0
20161215,-115015.0,-118205.0
20161216,-39845.0,-9070.0
20161217,39965.0,206360.0
20161219,62375.0,46075.0
20161220,295960.0,306330.0
20161221,-72875.0,-86315.0
20161222,262350.0,266910.0
20161223,3935.0,-9570.0
20161224,-12405.0,-23070.0
20161226,179375.0,187560.0
20161227,-92930.0,-99320.0
20161228,-970.0,-3160.0
20161229,10740.0,11335.0
20161230,-16295.0,-19250.0
20170103,-42190.0,-44660.0
20170104,-53125.0,-63845.0
20170105,2225.0,7690.0
20170106,-19045.0,-19665.0
20170107,-48050.0,-48955.0
20170109,22955.0,23430.0
20170110,134580.0,129565.0
20170111,8240.0,9090.0
20170112,-58825.0,-57370.0
20170113,21055.0,20150.0
20170114,98150.0,96320.0
20170116,144100.0,143330.0
20170117,-73810.0,-74295.0
20170118,-34720.0,-33650.0
20170119,1035.0,-3265.0
20170120,-67845.0,-75135.0
20170121,-17270.0,-17050.0
20170123,70545.0,71790.0
20170124,-43665.0,-50450.0
20170125,86120.0,86190.0
20170126,40750.0,39170.0
20170203,-35655.0,-39135.0
20170204,6435.0,10305.0
20170206,125250.0,119065.0
20170207,-134450.0,-141260.0
20170208,-50465.0,-59695.0
20170209,-115220.0,-118050.0
20170210,65940.0,63315.0
20170211,163295.0,171100.0
20170213,105515.0,90375.0
20170214,80350.0,88945.0
20170215,-181590.0,-181780.0
