,index,0_zhishu,0_ZL,dist
0,A,-11790.0,5260.0,17050.0
1,AG,-30705.0,-35895.0,-5190.0
2,AL,37225.0,21750.0,-15475.0
3,AU,-60950.0,-71650.0,-10700.0
4,bu,18940.0,67500.0,48560.0
5,c,53280.0,65170.0,11890.0
6,CF,-121450.0,-134375.0,-12925.0
7,cs,3320.0,8660.0,5340.0
8,CU,245150.0,264800.0,19650.0
9,FG,191520.0,157460.0,-34060.0
10,hc,201000.0,238520.0,37520.0
11,I,292600.0,293050.0,450.0
12,J,336500.0,363000.0,26500.0
13,jd,-116595.0,-115755.0,840.0
14,JM,235530.0,239040.0,3510.0
15,L,54425.0,73700.0,19275.0
16,M,-23190.0,-78260.0,-55070.0
17,MA,55800.0,44460.0,-11340.0
18,NI,101000.0,109380.0,8380.0
19,OI,-32120.0,-13120.0,19000.0
20,P,-21800.0,-28460.0,-6660.0
21,pp,53635.0,46800.0,-6835.0
22,RB,222820.0,231950.0,9130.0
23,RM,117390.0,93430.0,-23960.0
24,RU,362500.0,378150.0,15650.0
25,SR,-158870.0,-163500.0,-4630.0
26,TA,-45860.0,-10250.0,35610.0
27,YY,-98740.0,-100260.0,-1520.0
28,ZC,100980.0,182700.0,81720.0
29,ZN,218475.0,283425.0,64950.0
