day,Col_sum,Col_sum_zl
20161011,54150.0,57210.0
20161012,35355.0,38365.0
20161013,-50.0,1735.0
20161014,23055.0,22455.0
20161015,71180.0,75750.0
20161017,-11325.0,-22240.0
20161018,3350.0,7810.0
20161019,-18700.0,-19755.0
20161020,67240.0,63565.0
20161021,-70490.0,-66520.0
20161022,-26015.0,-20345.0
20161024,77295.0,79065.0
20161025,224480.0,217385.0
20161026,-60935.0,-51615.0
20161027,16075.0,25005.0
20161028,72700.0,65280.0
20161029,10385.0,-7350.0
20161031,40255.0,54035.0
20161101,-90575.0,-97875.0
20161102,74930.0,74550.0
20161103,11290.0,12405.0
20161104,80820.0,90410.0
20161105,-19240.0,-14130.0
20161107,121520.0,124685.0
20161108,62925.0,70060.0
20161109,-29140.0,-33145.0
20161110,111080.0,158710.0
20161111,136855.0,110870.0
20161112,-122170.0,-141780.0
20161114,-2395.0,16410.0
20161115,-35780.0,-31810.0
20161116,-79150.0,-82190.0
20161117,16610.0,17520.0
20161118,-30660.0,-39775.0
20161119,58715.0,66640.0
20161121,15955.0,4655.0
20161122,265485.0,242250.0
20161123,-39915.0,-58390.0
20161124,31665.0,4755.0
20161125,127630.0,156410.0
20161126,42465.0,-1370.0
20161128,157050.0,158955.0
20161129,-163715.0,-219100.0
20161130,114880.0,102520.0
20161201,-244325.0,-195365.0
20161202,93165.0,87290.0
20161203,-50440.0,-56680.0
20161205,60800.0,66160.0
20161206,-36265.0,40605.0
20161207,66475.0,79300.0
20161208,-126280.0,-132145.0
20161209,72495.0,67145.0
20161210,-25375.0,-25075.0
20161212,-32330.0,-44760.0
20161213,-60845.0,-68560.0
20161214,-65510.0,-68510.0
20161215,-137950.0,-142195.0
20161216,-107090.0,-15650.0
20161217,51060.0,325340.0
20161219,184990.0,176565.0
20161220,297340.0,307510.0
20161221,-81095.0,-96435.0
20161222,313700.0,318985.0
20161223,-27530.0,-41955.0
20161224,17500.0,6155.0
20161226,298835.0,313145.0
20161227,-124505.0,-133195.0
20161228,12270.0,10220.0
20161229,12110.0,11745.0
20161230,-36290.0,-43575.0
20170103,46480.0,41610.0
20170104,-162310.0,-174675.0
20170105,5870.0,10840.0
20170106,-30405.0,-33465.0
20170107,-55690.0,-59190.0
20170109,38460.0,38485.0
20170110,170685.0,166975.0
20170111,9150.0,8710.0
20170112,-47250.0,-48640.0
20170113,3505.0,-1905.0
20170114,218385.0,219755.0
20170116,239580.0,234465.0
20170117,-198115.0,-196790.0
20170118,-59500.0,-56485.0
20170119,15170.0,14370.0
20170120,-15025.0,-21155.0
20170121,2520.0,1625.0
20170123,28925.0,28860.0
20170124,-123360.0,-125585.0
20170125,132890.0,136225.0
20170126,98985.0,101735.0
20170203,10360.0,8445.0
20170204,40140.0,43730.0
20170206,148685.0,139380.0
20170207,-133660.0,-142840.0
20170208,-57880.0,-69560.0
20170209,-143525.0,-150295.0
20170210,129015.0,128400.0
20170211,252990.0,265365.0
20170213,220945.0,205605.0
20170214,65955.0,71830.0
20170215,-322005.0,-327285.0
