,index,0_zhishu,0_ZL,dist
0,A,-6510.0,25490.0,32000.0
1,AG,9275.0,5600.0,-3675.0
2,AL,31600.0,28600.0,-3000.0
3,AU,-22500.0,-31500.0,-9000.0
4,bu,-8320.0,-7220.0,1100.0
5,c,79840.0,90210.0,10370.0
6,CF,-2975.0,-7350.0,-4375.0
7,cs,-14620.0,-24280.0,-9660.0
8,CU,83750.0,85600.0,1850.0
9,FG,102310.0,97230.0,-5080.0
10,hc,79910.0,82330.0,2420.0
11,I,9800.0,10650.0,850.0
12,J,128150.0,95250.0,-32900.0
13,jd,-39730.0,-37155.0,2575.0
14,JM,13620.0,4260.0,-9360.0
15,L,20350.0,25800.0,5450.0
16,M,54240.0,38560.0,-15680.0
17,MA,86750.0,81660.0,-5090.0
18,NI,10130.0,23900.0,13770.0
19,OI,12820.0,33620.0,20800.0
20,P,-20960.0,-38400.0,-17440.0
21,pp,16740.0,15975.0,-765.0
22,RB,141530.0,145770.0,4240.0
23,RM,6920.0,1990.0,-4930.0
24,RU,140450.0,140400.0,-50.0
25,SR,-92520.0,-102580.0,-10060.0
26,TA,2090.0,8160.0,6070.0
27,YY,11980.0,10140.0,-1840.0
28,ZC,26480.0,28340.0,1860.0
29,ZN,82350.0,103025.0,20675.0
