,index,0_zhishu,0_ZL,dist
0,A,-18130.0,-8250.0,9880.0
1,AG,-2880.0,-4170.0,-1290.0
2,AL,33500.0,27275.0,-6225.0
3,AU,-31350.0,-30500.0,850.0
4,bu,20680.0,19300.0,-1380.0
5,c,79500.0,90730.0,11230.0
6,CF,-12675.0,-19675.0,-7000.0
7,cs,10060.0,-830.0,-10890.0
8,CU,193350.0,196000.0,2650.0
9,FG,70560.0,62280.0,-8280.0
10,hc,83290.0,90130.0,6840.0
11,I,65275.0,70225.0,4950.0
12,J,36200.0,31200.0,-5000.0
13,jd,-25240.0,-28295.0,-3055.0
14,JM,25950.0,26820.0,870.0
15,L,-59525.0,-60850.0,-1325.0
16,M,22580.0,6300.0,-16280.0
17,MA,88280.0,85630.0,-2650.0
18,NI,20860.0,43890.0,23030.0
19,OI,-23440.0,-13340.0,10100.0
20,P,10020.0,6340.0,-3680.0
21,pp,-62775.0,-63780.0,-1005.0
22,RB,90780.0,97900.0,7120.0
23,RM,56190.0,53650.0,-2540.0
24,RU,79000.0,79300.0,300.0
25,SR,-158350.0,-168020.0,-9670.0
26,TA,24190.0,26140.0,1950.0
27,YY,1120.0,-200.0,-1320.0
28,ZC,59580.0,49460.0,-10120.0
29,ZN,52125.0,71075.0,18950.0
