day,Col_sum,Col_sum_zl
20161011,27665.0,28685.0
20161012,29355.0,31715.0
20161013,-31765.0,-31055.0
20161014,21900.0,21985.0
20161015,48125.0,52260.0
20161017,-13845.0,-21500.0
20161018,13715.0,18745.0
20161019,-30910.0,-31795.0
20161020,30575.0,28415.0
20161021,-40250.0,-37650.0
20161022,-15710.0,-11310.0
20161024,46545.0,45900.0
20161025,130645.0,124965.0
20161026,-16760.0,-13285.0
20161027,7720.0,12020.0
20161028,22085.0,17210.0
20161029,22880.0,11785.0
20161031,23515.0,37855.0
20161101,-59155.0,-65870.0
20161102,66370.0,63715.0
20161103,-13055.0,-14900.0
20161104,-12005.0,-9125.0
20161105,-14565.0,-13430.0
20161107,50695.0,51105.0
20161108,74895.0,81370.0
20161109,-34355.0,-32225.0
20161110,26210.0,40455.0
20161111,94780.0,76805.0
20161112,-61030.0,-73460.0
20161114,-20965.0,-6500.0
20161115,-29720.0,-23830.0
20161116,-55415.0,-56620.0
20161117,5050.0,3530.0
20161118,-7015.0,-8715.0
20161119,10745.0,15230.0
20161121,-13255.0,-19965.0
20161122,81380.0,74520.0
20161123,-28905.0,-42035.0
20161124,27915.0,17210.0
20161125,40220.0,50855.0
20161126,18385.0,18620.0
20161128,70750.0,73845.0
20161129,-55020.0,-59545.0
20161130,-19925.0,-16885.0
20161201,-78115.0,-85805.0
20161202,43910.0,43385.0
20161203,-15200.0,-17705.0
20161205,39835.0,44555.0
20161206,-24065.0,-29365.0
20161207,23235.0,25555.0
20161208,-36150.0,-37815.0
20161209,19515.0,14595.0
20161210,-5565.0,-7370.0
20161212,-25545.0,-27915.0
20161213,-12190.0,-14805.0
20161214,-32775.0,-33035.0
20161215,-62530.0,-63190.0
20161216,11470.0,-4360.0
20161217,39140.0,172150.0
20161219,103285.0,95305.0
20161220,223200.0,228255.0
20161221,-72150.0,-82325.0
20161222,182750.0,185540.0
20161223,18500.0,12730.0
20161224,-13290.0,-18670.0
20161226,107760.0,114490.0
20161227,-72480.0,-76945.0
20161228,-4680.0,-6135.0
20161229,3795.0,2615.0
20161230,-13105.0,-14780.0
20170103,-23360.0,-26200.0
20170104,-46070.0,-52910.0
20170105,-1110.0,2000.0
20170106,4560.0,4665.0
20170107,-24760.0,-23525.0
20170109,-4815.0,-9250.0
20170110,38270.0,34200.0
20170111,10315.0,10035.0
20170112,-42160.0,-43070.0
20170113,13845.0,10615.0
20170114,57970.0,56415.0
20170116,62800.0,62905.0
20170117,-54955.0,-57710.0
20170118,-1910.0,-1950.0
20170119,24185.0,21660.0
20170120,-60550.0,-66060.0
20170121,-6585.0,-6230.0
20170123,17290.0,17570.0
20170124,-6110.0,-9600.0
20170125,38180.0,37370.0
20170126,30310.0,28355.0
20170203,-59045.0,-60175.0
20170204,15725.0,17565.0
20170206,64925.0,61100.0
20170207,-38540.0,-42895.0
20170208,-24635.0,-30570.0
20170209,-67145.0,-68680.0
20170210,-5415.0,-7075.0
20170211,123995.0,131145.0
20170213,41650.0,30265.0
20170214,38395.0,41635.0
20170215,-153575.0,-153920.0
