,index,0_zhishu,0_ZL,dist
0,A,39790.0,31880.0,-7910.0
1,AG,-24160.0,12500.0,36660.0
2,AL,52400.0,60200.0,7800.0
3,AU,-18450.0,-23550.0,-5100.0
4,bu,94900.0,88400.0,-6500.0
5,c,115320.0,152020.0,36700.0
6,CF,-116700.0,-125300.0,-8600.0
7,cs,-9040.0,-29200.0,-20160.0
8,CU,114650.0,114500.0,-150.0
9,FG,17560.0,6080.0,-11480.0
10,hc,86540.0,94270.0,7730.0
11,I,142000.0,149200.0,7200.0
12,J,127400.0,117050.0,-10350.0
13,jd,-102360.0,-106800.0,-4440.0
14,JM,59400.0,44370.0,-15030.0
15,L,-24500.0,-29050.0,-4550.0
16,M,90600.0,60990.0,-29610.0
17,MA,-38200.0,-45170.0,-6970.0
18,NI,200610.0,214140.0,13530.0
19,OI,-49460.0,-41700.0,7760.0
20,P,-44360.0,-64760.0,-20400.0
21,pp,-9930.0,-11410.0,-1480.0
22,RB,82540.0,80350.0,-2190.0
23,RM,61210.0,64400.0,3190.0
24,RU,230650.0,229750.0,-900.0
25,SR,-124370.0,-129240.0,-4870.0
26,TA,95570.0,102750.0,7180.0
27,YY,-46060.0,-49040.0,-2980.0
28,ZC,56720.0,40160.0,-16560.0
29,ZN,134650.0,129800.0,-4850.0
