day,Col_sum,Col_sum_zl
20161011,50865.0,51870.0
20161012,49345.0,54565.0
20161013,-23805.0,-26080.0
20161014,47595.0,48550.0
20161017,-48310.0,-51720.0
20161018,20155.0,28700.0
20161019,-10920.0,-13215.0
20161020,114680.0,111135.0
20161021,-90790.0,-85490.0
20161024,80410.0,83270.0
20161025,109835.0,99730.0
20161026,29930.0,42875.0
20161027,-63790.0,-61345.0
20161028,73725.0,67970.0
20161031,111770.0,104670.0
20161101,-111215.0,-116315.0
20161102,50810.0,50895.0
20161103,5620.0,5420.0
20161104,5160.0,6730.0
20161107,96190.0,102235.0
20161108,35180.0,42360.0
20161109,-82685.0,-85850.0
20161110,167425.0,186515.0
20161111,83555.0,61360.0
20161114,-229205.0,-210365.0
20161115,-32225.0,-21430.0
20161116,-65025.0,-69800.0
20161117,29020.0,25240.0
20161118,-9830.0,-24445.0
20161121,-36485.0,-53830.0
20161122,65960.0,68710.0
20161123,-38435.0,-59250.0
20161124,66400.0,33555.0
20161125,78650.0,110235.0
20161128,29885.0,28535.0
20161129,-94230.0,-126000.0
20161130,25795.0,22685.0
20161201,-113395.0,-115885.0
20161202,49130.0,51715.0
20161205,48640.0,53695.0
20161206,-11265.0,-20345.0
20161207,50315.0,48820.0
20161208,-28340.0,-31020.0
20161209,52435.0,46540.0
20161212,-115060.0,-131300.0
20161213,-31435.0,-40390.0
20161214,44870.0,46825.0
20161215,-125460.0,-129055.0
20161216,-30950.0,-5580.0
20161219,112365.0,229630.0
20161220,259605.0,259705.0
20161221,-46325.0,-52580.0
20161222,269435.0,273395.0
20161223,34760.0,25755.0
20161226,299390.0,302800.0
20161227,-149085.0,-157265.0
20161228,-10035.0,-11900.0
20161229,-1225.0,-3200.0
20161230,-24130.0,-27800.0
20170103,-2240.0,-2460.0
20170104,-40405.0,-46805.0
20170105,5930.0,2980.0
20170106,50625.0,54765.0
20170109,-24000.0,-28410.0
20170110,98480.0,94150.0
20170111,38240.0,36725.0
20170112,47155.0,49950.0
20170113,-5335.0,-8460.0
20170116,215530.0,210930.0
20170117,-93465.0,-96320.0
20170118,29455.0,30190.0
20170119,-6620.0,-10645.0
20170120,85835.0,78265.0
20170123,8325.0,7430.0
20170124,-108450.0,-116895.0
20170125,-11010.0,-11010.0
20170126,74990.0,71625.0
20170203,-94115.0,-92960.0
20170206,61900.0,56870.0
20170207,-70095.0,-78705.0
20170208,-20895.0,-30005.0
20170209,-100540.0,-103540.0
20170210,-2635.0,-6030.0
20170213,198160.0,195375.0
20170214,67420.0,72820.0
20170215,-232570.0,-237475.0
