,index,0_zhishu,0_ZL,dist
0,A,4940.0,17160.0,12220.0
1,AG,23320.0,46000.0,22680.0
2,AL,49575.0,37025.0,-12550.0
3,AU,5950.0,3200.0,-2750.0
4,bu,-21320.0,-17160.0,4160.0
5,c,134940.0,180660.0,45720.0
6,CF,-67975.0,-67225.0,750.0
7,cs,91480.0,100100.0,8620.0
8,CU,100050.0,100250.0,200.0
9,FG,60720.0,55440.0,-5280.0
10,hc,90110.0,94070.0,3960.0
11,I,46800.0,47900.0,1100.0
12,J,142650.0,125250.0,-17400.0
13,jd,-83590.0,-85220.0,-1630.0
14,JM,-40740.0,-45150.0,-4410.0
15,L,-76925.0,-88875.0,-11950.0
16,M,86530.0,94350.0,7820.0
17,MA,-26070.0,-27220.0,-1150.0
18,NI,189420.0,203100.0,13680.0
19,OI,-43120.0,-36680.0,6440.0
20,P,-10540.0,-21780.0,-11240.0
21,pp,-106760.0,-112660.0,-5900.0
22,RB,110950.0,114910.0,3960.0
23,RM,24890.0,22320.0,-2570.0
24,RU,123500.0,119500.0,-4000.0
25,SR,-115920.0,-119560.0,-3640.0
26,TA,60990.0,51590.0,-9400.0
27,YY,-41460.0,-46960.0,-5500.0
28,ZC,23200.0,16800.0,-6400.0
29,ZN,126150.0,123525.0,-2625.0
