day,Col_sum,Col_sum_zl
20161011,48800.0,52610.0
20161012,53720.0,57160.0
20161013,-29240.0,-31270.0
20161014,9585.0,11035.0
20161017,-70480.0,-72950.0
20161018,46965.0,53985.0
20161019,-5505.0,-5500.0
20161020,78870.0,77850.0
20161021,-28635.0,-25840.0
20161024,38715.0,41040.0
20161025,64020.0,57640.0
20161026,28175.0,32755.0
20161027,-5830.0,-355.0
20161028,37520.0,31140.0
20161031,97980.0,97190.0
20161101,-80215.0,-83325.0
20161102,50400.0,38020.0
20161103,7050.0,5065.0
20161104,-31300.0,-34925.0
20161107,83500.0,85220.0
20161108,61660.0,68475.0
20161109,-92000.0,-99430.0
20161110,194965.0,212290.0
20161111,123405.0,104400.0
20161114,-222995.0,-217265.0
20161115,-31240.0,-23270.0
20161116,-43900.0,-42440.0
20161117,-7420.0,-9080.0
20161118,5740.0,3660.0
20161121,-12050.0,-17010.0
20161122,10860.0,30080.0
20161123,-23140.0,-20820.0
20161124,41120.0,30685.0
20161125,54295.0,62350.0
20161128,13680.0,3020.0
20161129,-75975.0,-72820.0
20161130,26870.0,26555.0
20161201,-83695.0,-89200.0
20161202,38850.0,40235.0
20161205,1515.0,4240.0
20161206,9825.0,7760.0
20161207,17995.0,18240.0
20161208,-35260.0,-37255.0
20161209,32840.0,22115.0
20161212,-60165.0,-67675.0
20161213,-30810.0,-32505.0
20161214,49375.0,56065.0
20161215,-100610.0,-105080.0
20161216,-24475.0,-5850.0
20161219,68545.0,166425.0
20161220,238230.0,237510.0
20161221,-44560.0,-53715.0
20161222,253060.0,256085.0
20161223,23290.0,13380.0
20161226,235735.0,237500.0
20161227,-94470.0,-99290.0
20161228,-16290.0,-15640.0
20161229,390.0,-1360.0
20161230,-3360.0,-4150.0
20170103,-15160.0,-18750.0
20170104,-55340.0,-57120.0
20170105,-12500.0,-8810.0
20170106,-15470.0,-15685.0
20170109,-25680.0,-29050.0
20170110,32195.0,30895.0
20170111,43645.0,43310.0
20170112,-78340.0,-80835.0
20170113,9340.0,6840.0
20170116,114580.0,113075.0
20170117,-64505.0,-68310.0
20170118,5985.0,6775.0
20170119,13215.0,9460.0
20170120,1430.0,-5445.0
20170123,27225.0,23445.0
20170124,-16725.0,-20920.0
20170125,-13180.0,-16140.0
20170126,71145.0,67075.0
20170203,-157450.0,-157465.0
20170206,69490.0,66050.0
20170207,-58245.0,-62105.0
20170208,-31050.0,-41465.0
20170209,-59950.0,-61805.0
20170210,33230.0,31960.0
20170213,233175.0,230935.0
20170214,57720.0,65625.0
20170215,-140960.0,-140640.0
