d,mymean,total
2016-01-04,-541.555555556,-541.555555556
2016-01-05,-8.88888888889,-550.444444444
2016-01-06,-60.4444444444,-610.888888889
2016-01-07,-5.33333333333,-616.222222222
2016-01-08,-6.66666666667,-622.888888889
2016-01-09,0.0,-622.888888889
2016-01-11,-47.0,-669.888888889
2016-01-12,182.888888889,-487.0
2016-01-13,-24.0,-511.0
2016-01-14,-120.888888889,-631.888888889
2016-01-15,-122.111111111,-754.0
2016-01-16,0.0,-754.0
2016-01-18,117.111111111,-636.888888889
2016-01-19,35.7777777778,-601.111111111
2016-01-20,162.777777778,-438.333333333
2016-01-21,656.0,217.666666667
2016-01-22,-584.111111111,-366.444444444
2016-01-23,0.0,-366.444444444
2016-01-25,4.11111111111,-362.333333333
2016-01-26,192.222222222,-170.111111111
2016-01-27,540.888888889,370.777777778
2016-01-28,-114.666666667,256.111111111
2016-01-29,-309.777777778,-53.6666666667
2016-01-30,0.0,-53.6666666667
2016-02-01,115.111111111,61.4444444444
2016-02-02,543.111111111,604.555555556
2016-02-03,-126.666666667,477.888888889
2016-02-04,237.777777778,715.666666667
2016-02-05,363.111111111,1078.77777778
2016-02-15,1452.44444444,2531.22222222
2016-02-16,-95.5555555556,2435.66666667
2016-02-17,-318.777777778,2116.88888889
2016-02-18,0.0,2116.88888889
2016-02-19,68.7777777778,2185.66666667
2016-02-20,0.0,2185.66666667
2016-02-22,74.8888888889,2260.55555556
2016-02-23,-524.777777778,1735.77777778
2016-02-24,681.777777778,2417.55555556
2016-02-25,-131.111111111,2286.44444444
2016-02-26,-39.3333333333,2247.11111111
2016-02-27,0.0,2247.11111111
2016-02-29,-156.222222222,2090.88888889
2016-03-01,-100.0,1990.88888889
2016-03-02,-221.0,1769.88888889
2016-03-03,-232.0,1537.88888889
2016-03-04,47.0,1584.88888889
2016-03-05,0.0,1584.88888889
2016-03-07,600.0,2184.88888889
2016-03-08,-339.0,1845.88888889
2016-03-09,-104.0,1741.88888889
2016-03-10,0.0,1741.88888889
2016-03-11,-19.0,1722.88888889
2016-03-12,0.0,1722.88888889
2016-03-14,60.0,1782.88888889
2016-03-15,-69.0,1713.88888889
2016-03-16,42.0,1755.88888889
2016-03-17,129.0,1884.88888889
2016-03-18,196.0,2080.88888889
2016-03-19,0.0,2080.88888889
2016-03-21,322.0,2402.88888889
2016-03-22,532.0,2934.88888889
2016-03-23,-220.0,2714.88888889
2016-03-24,0.0,2714.88888889
2016-03-25,0.0,2714.88888889
2016-03-26,0.0,2714.88888889
2016-03-28,0.0,2714.88888889
2016-03-29,0.0,2714.88888889
2016-03-30,0.0,2714.88888889
2016-03-31,0.0,2714.88888889
2016-04-01,0.0,2714.88888889
2016-04-05,0.0,2714.88888889
2016-04-06,0.0,2714.88888889
2016-04-07,0.0,2714.88888889
2016-04-08,0.0,2714.88888889
2016-04-09,0.0,2714.88888889
2016-04-11,-202.0,2512.88888889
2016-04-12,-54.0,2458.88888889
2016-04-13,-115.0,2343.88888889
2016-04-14,90.0,2433.88888889
2016-04-15,-72.0,2361.88888889
2016-04-16,0.0,2361.88888889
2016-04-18,174.0,2535.88888889
2016-04-19,312.0,2847.88888889
2016-04-20,88.0,2935.88888889
2016-04-21,0.0,2935.88888889
2016-04-22,0.0,2935.88888889
2016-04-23,0.0,2935.88888889
2016-04-25,0.0,2935.88888889
2016-04-26,0.0,2935.88888889
2016-04-27,0.0,2935.88888889
2016-04-28,0.0,2935.88888889
2016-04-29,0.0,2935.88888889
2016-05-03,119.5,3055.38888889
2016-05-04,-111.0,2944.38888889
2016-05-05,-6.125,2938.26388889
2016-05-06,120.625,3058.88888889
2016-05-07,0.0,3058.88888889
2016-05-09,-690.75,2368.13888889
2016-05-10,-278.0,2090.13888889
2016-05-11,-396.5,1693.63888889
2016-05-12,761.375,2455.01388889
2016-05-13,875.0,3330.01388889
2016-05-14,0.0,3330.01388889
2016-05-15,0.0,3330.01388889
2016-05-16,-51.875,3278.13888889
2016-05-17,-332.5,2945.63888889
2016-05-18,427.125,3372.76388889
2016-05-19,433.75,3806.51388889
2016-05-20,-195.625,3610.88888889
2016-05-21,0.0,3610.88888889
2016-05-23,689.875,4300.76388889
2016-05-24,-314.375,3986.38888889
2016-05-25,19.25,4005.63888889
2016-05-26,-451.125,3554.51388889
2016-05-27,59.625,3614.13888889
2016-05-28,0.0,3614.13888889
2016-05-30,48.0,3662.13888889
2016-05-31,-53.625,3608.51388889
2016-06-01,-207.0,3401.51388889
2016-06-02,247.5,3649.01388889
2016-06-03,-62.625,3586.38888889
2016-06-04,0.0,3586.38888889
2016-06-06,60.25,3646.63888889
2016-06-07,212.125,3858.76388889
2016-06-08,-186.125,3672.63888889
2016-06-13,-192.25,3480.38888889
2016-06-14,50.25,3530.63888889
2016-06-15,28.625,3559.26388889
2016-06-16,49.5,3608.76388889
2016-06-17,-74.25,3534.51388889
2016-06-18,0.0,3534.51388889
2016-06-20,-27.5,3507.01388889
2016-06-21,43.625,3550.63888889
2016-06-22,-170.125,3380.51388889
2016-06-23,-225.25,3155.26388889
2016-06-24,281.625,3436.88888889
2016-06-25,0.0,3436.88888889
2016-06-27,-333.25,3103.63888889
2016-06-28,351.625,3455.26388889
2016-06-29,-609.9,2845.36388889
2016-06-30,167.4,3012.76388889
2016-07-01,124.2,3136.96388889
2016-07-02,0.0,3136.96388889
2016-07-04,280.8,3417.76388889
2016-07-05,-399.6,3018.16388889
2016-07-06,255.8,3273.96388889
2016-07-07,7.7,3281.66388889
2016-07-08,4.2,3285.86388889
2016-07-09,0.0,3285.86388889
2016-07-11,-44.6,3241.26388889
2016-07-12,-45.9,3195.36388889
2016-07-13,157.5,3352.86388889
2016-07-14,-255.6,3097.26388889
2016-07-15,48.6,3145.86388889
2016-07-16,0.0,3145.86388889
2016-07-18,-25.2,3120.66388889
2016-07-19,-284.4,2836.26388889
2016-07-20,-128.7,2707.56388889
2016-07-21,-548.1,2159.46388889
2016-07-22,779.4,2938.86388889
2016-07-23,0.0,2938.86388889
2016-07-25,324.0,3262.86388889
2016-07-26,-500.4,2762.46388889
2016-07-27,-101.7,2660.76388889
2016-07-28,-593.1,2067.66388889
2016-07-29,796.5,2864.16388889
2016-07-30,0.0,2864.16388889
2016-08-01,-388.8,2475.36388889
2016-08-02,-2.7,2472.66388889
2016-08-03,-125.1,2347.56388889
2016-08-04,-134.1,2213.46388889
2016-08-05,-69.3,2144.16388889
2016-08-06,0.0,2144.16388889
2016-08-08,183.6,2327.76388889
2016-08-09,390.6,2718.36388889
2016-08-10,-63.0,2655.36388889
2016-08-11,-314.1,2341.26388889
2016-08-12,-152.2,2189.06388889
2016-08-13,0.0,2189.06388889
