d,mymean
2016-01-04,-541.555555556
2016-01-05,-8.88888888889
2016-01-06,-60.4444444444
2016-01-07,-5.33333333333
2016-01-08,-6.66666666667
2016-01-09,0.0
2016-01-11,-47.0
2016-01-12,182.888888889
2016-01-13,-24.0
2016-01-14,-120.888888889
2016-01-15,-122.111111111
2016-01-16,0.0
2016-01-18,117.111111111
2016-01-19,35.7777777778
2016-01-20,162.777777778
2016-01-21,656.0
2016-01-22,-584.111111111
2016-01-23,0.0
2016-01-25,4.11111111111
2016-01-26,192.222222222
2016-01-27,540.888888889
2016-01-28,-114.666666667
2016-01-29,-309.777777778
2016-01-30,0.0
2016-02-01,115.111111111
2016-02-02,543.111111111
2016-02-03,-126.666666667
2016-02-04,237.777777778
2016-02-05,363.111111111
2016-02-15,1452.44444444
2016-02-16,-95.5555555556
2016-02-17,-318.777777778
2016-02-18,0.0
2016-02-19,68.7777777778
2016-02-20,0.0
2016-02-22,74.8888888889
2016-02-23,-524.777777778
2016-02-24,681.777777778
2016-02-25,-131.111111111
2016-02-26,-39.3333333333
2016-02-27,0.0
2016-02-29,-156.222222222
2016-03-01,-100.0
2016-03-02,-221.0
2016-03-03,-232.0
2016-03-04,47.0
2016-03-05,0.0
2016-03-07,600.0
2016-03-08,-339.0
2016-03-09,-104.0
2016-03-10,0.0
2016-03-11,-19.0
2016-03-12,0.0
2016-03-14,60.0
2016-03-15,-69.0
2016-03-16,42.0
2016-03-17,129.0
2016-03-18,196.0
2016-03-19,0.0
2016-03-21,322.0
2016-03-22,532.0
2016-03-23,-220.0
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.0
2016-04-09,0.0
2016-04-11,-202.0
2016-04-12,-54.0
2016-04-13,-115.0
2016-04-14,90.0
2016-04-15,-72.0
2016-04-16,0.0
2016-04-18,174.0
2016-04-19,312.0
2016-04-20,88.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-05-03,-43.0
2016-05-04,16.0
2016-05-05,0.0
2016-05-06,-101.0
2016-05-07,0.0
2016-05-09,-731.0
2016-05-10,-516.0
2016-05-11,162.0
2016-05-12,-57.0
2016-05-13,1148.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,280.0
2016-05-17,-328.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,-101.0
2016-06-24,600.0
2016-06-25,0.0
2016-06-27,-642.0
2016-06-28,860.0
2016-06-29,-735.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,11.0
2016-07-07,1148.0
2016-07-08,42.0
2016-07-09,0.0
2016-07-11,-446.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,35.0
2016-08-13,0.0
2016-08-15,450.0
2016-08-16,18.0
2016-08-17,192.0
2016-08-18,12.0
2016-08-19,-12.0
2016-08-20,0.0
2016-08-22,-20.0
2016-08-23,0.0
2016-08-24,95.0
2016-08-25,-290.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,323.0
2016-09-10,0.0
2016-09-12,-598.0
2016-09-13,0.0
2016-09-14,32.0
2016-09-19,-344.0
2016-09-20,349.0
2016-09-21,260.0
2016-09-22,-153.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,1.0
2016-10-14,-378.0
2016-10-15,0.0
2016-10-17,-1505.0
2016-10-18,896.0
2016-10-19,-704.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-24,419.0
2016-10-25,10.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-31,-227.0
2016-11-01,-1171.0
2016-11-02,280.0
2016-11-03,-168.0
2016-11-04,-687.0
2016-11-05,0.0
2016-11-07,478.0
2016-11-08,1008.0
2016-11-09,-652.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,191.0
2016-12-03,0.0
2016-12-05,48.0
2016-12-06,-78.0
2016-12-07,204.0
2016-12-08,-218.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-12,-71.0
2016-12-13,-365.0
2016-12-14,-56.0
2016-12-15,-315.0
2016-12-16,-77.0
2016-12-17,0.0
2016-12-19,24.0
2016-12-20,657.0
2016-12-21,-120.0
2016-12-22,960.0
2016-12-23,880.0
2016-12-24,0.0
2016-12-26,-285.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,29.0
2017-01-12,54.0
2017-01-13,-18.0
2017-01-14,0.0
2017-01-16,150.0
2017-01-17,-18.0
2017-01-18,-24.0
2017-01-19,-82.0
2017-01-20,-311.0
2017-01-21,0.0
2017-01-23,72.0
2017-01-24,432.0
2017-01-25,-880.0
2017-01-26,840.0
2017-02-03,840.0
2017-02-06,-120.0
2017-02-07,180.0
